Title,Actors,Director,Genre,Year,Runtime
The Hangover Part III,Bradley Cooper; Ed Helms; Zach Galifianakis,Todd Phillips,Comedy,2013,100
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe; Rupert Grint; Emma Watson,David Yates,Family; Fantasy; Adventure,2011,130
Spectre,Daniel Craig; Christoph Waltz; Léa Seydoux,Sam Mendes,Action; Adventure; Crime,2015,148
Sleight,Jacob Latimore; Seychelle Gabriel; Sasheer Zamata,J.D. Dillard,Drama; Thriller; Action; Science Fiction,2017,89
Black Mirror: White Christmas,Jon Hamm; Rafe Spall; Oona Chaplin,Carl Tibbetts,Drama; Horror; Mystery; Science Fiction; Thriller; TV Movie,2014,74
Harry Potter and the Goblet of Fire,Daniel Radcliffe; Rupert Grint; Emma Watson,Mike Newell,Adventure; Fantasy; Family,2005,157
Despicable Me 2,Steve Carell; Kristen Wiig; Benjamin Bratt,Pierre Coffin,Animation; Comedy; Family,2013,98
No Good Deed,Idris Elba; Taraji P. Henson; Leslie Bibb,Sam Miller,Crime; Thriller,2014,83
The Book of Henry,Naomi Watts; Jaeden Lieberher; Jacob Tremblay,Colin Trevorrow,Thriller; Drama; Crime,2017,105
Rings,Matilda Anna Ingrid Lutz; Alex Roe; Johnny Galecki,F. Javier Gutiérrez,Horror,2017,102
Child's Play 3,Justin Whalin; Perrey Reeves; Jeremy Sylvers,Jack Bender,Thriller; Horror; Action,1991,90
A Monster Calls,Lewis MacDougall; Sigourney Weaver; Felicity Jones,Juan Antonio Bayona,Drama; Fantasy,2016,108
A Ghost Story,Casey Affleck; Rooney Mara; Will Oldham,David Lowery,Drama; Fantasy; Romance,2017,92
Rough Night,Scarlett Johansson; Jillian Bell; Kate McKinnon,Lucia Aniello,Drama; Comedy,2017,101
The Fifth Element,Bruce Willis; Gary Oldman; Ian Holm,Luc Besson,Adventure; Fantasy; Action; Thriller; Science Fiction,1997,126
Frozen,Kristen Bell; Idina Menzel; Jonathan Groff,Chris Buck,Animation; Adventure; Family,2013,102
Overdrive,Scott Eastwood; Freddie Thorp; Ana de Armas,Antonio Negret,Thriller; Action,2017,93
Inside Out,Amy Poehler; Phyllis Smith; Richard Kind,Pete Docter,Drama; Comedy; Animation; Family,2015,94
The Mummy,Brendan Fraser; Rachel Weisz; John Hannah,Stephen Sommers,Adventure; Action; Fantasy,1999,124
Grown Ups,Adam Sandler; Salma Hayek; Maria Bello,Dennis Dugan,Comedy,2010,102
A Dog's Will,Matheus Nachtergaele; Selton Mello; Lima Duarte,Guel Arraes,Adventure; Comedy; Drama,2000,104
The Hangover,Bradley Cooper; Ed Helms; Zach Galifianakis,Todd Phillips,Comedy,2009,100
